Family,Genus,Species,Abundance,Locality,Province/Territory,Ecozone,Side,Latitude,Longitude,Moisture_Regime,Replicate,Date,Trapping_Method
Sphaeroceridae,Copromyza,Copromyza sp. A,1,Cambridge_Bay,NU,HA,W,69.12177,-105.41688,Wet,1,11-15.vii.2011,PanTrap
Sphaeroceridae,Norrbomia,Norrbomia fumipennis,1,Cambridge_Bay,NU,HA,W,69.12177,-105.41688,Wet,1,11-15.vii.2011,PanTrap
Sphaeroceridae,Norrbomia,Norrbomia fumipennis,1,Cambridge_Bay,NU,HA,W,69.12177,-105.41688,Wet,1,15-19.vii.2011,PanTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,1,Cambridge_Bay,NU,HA,W,69.12177,-105.41688,Wet,1,7-11.vii.2011,MalaiseTrap
Ephydridae,Parydra,Parydra sp. A,1,Cambridge_Bay,NU,HA,W,69.12177,-105.41688,Wet,1,15-19.vii.2011,PanTrap
Sepsidae,Themira,Themira maculatarsis Curran,1,Cambridge_Bay,NU,HA,W,69.12177,-105.41688,Wet,1,15-19.vii.2011,PanTrap
Piophilidae,Arctopiophila,Arctopiophila arctica,1,Cambridge_Bay,NU,HA,W,69.12225,-105.42191,Wet,2,11-15.vii.2011,MalaiseTrap
Ephydridae,Axysta,Axysta n. sp. A,1,Cambridge_Bay,NU,HA,W,69.12225,-105.42191,Wet,2,7-11.vii.2011,PanTrap
Sphaeroceridae,Leptocera,Leptocera sp. A,1,Cambridge_Bay,NU,HA,W,69.12225,-105.42191,Wet,2,11-15.vii.2011,PanTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,1,Cambridge_Bay,NU,HA,W,69.12225,-105.42191,Wet,2,11-15.vii.2011,MalaiseTrap
Ephydridae,Parydra,Parydra sp. A,4,Cambridge_Bay,NU,HA,W,69.12225,-105.42191,Wet,2,7-11.vii.2011,PanTrap
Ephydridae,Parydra,Parydra sp. A,3,Cambridge_Bay,NU,HA,W,69.12225,-105.42191,Wet,2,11-15.vii.2011,PanTrap
Piophilidae,Arctopiophila,Arctopiophila arctica,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,15-19.vii.2011,MalaiseTrap
Ephydridae,Axysta,Axysta n. sp. A,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,7-11.vii.2011,PanTrap
Piophilidae,Lasiopiophila,Lasiopiophila pilosa,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,15-19.vii.2011,MalaiseTrap
Sphaeroceridae,Leptocera,Leptocera sp. A,2,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,7-11.vii.2011,PanTrap
Heleomyzidae,Neoleria,Neoleria prominens,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,15-19.vii.2011,MalaiseTrap
Ephydridae,Parydra,Parydra sp. A,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,7-11.vii.2011,PanTrap
Sepsidae,Themira,Themira maculatarsis Curran,2,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,15-19.vii.2011,MalaiseTrap
Sepsidae,Themira,Themira sp. A,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,15-19.vii.2011,MalaiseTrap
Sepsidae,Themira,Themira sp. A,1,Cambridge_Bay,NU,HA,W,69.12366,-105.42531,Wet,3,15-19.vii.2011,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Dictya,Dictya umbroides Curran,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Elachiptera,Elachipter sp. B,2,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Gaurax,Gaurax n. sp. group D,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Piophilidae,Neopiophila,Neopiophila setaluna,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,4.vi.2010,Sweep
Piophilidae,Neopiophila,Neopiophila setaluna,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,8.vi.2010,Sweep
Chloropidae,Oscinella,Oscinella sp. D,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,4-8.vii.2010,PanTrap
Ephydridae,Scatophila,Scatophila n.sp. B,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Siphonella,Siphonella oscinina (Fallén),1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?loewi,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?silvatica ,3,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?silvatica ,2,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,4.vi.2010,Sweep
Sciomyzidae,Tetanocera,Tetanocera fuscinervis Zetterstedt,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera lafibula Frey,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,8-13.vii.2010,PanTrap
Sciomyzidae,Tetanocera,Tetanocera robusta Loew,4,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera robusta Loew,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,13.vi.2010,Sweep
Sciomyzidae,Tetanocera,Tetanocera sp. E,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera spririfera,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,4-8.vii.2010,PanTrap
Chloropidae,Thaumatomyia,Thaumatomyia trifasciata (Zett),3,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Thaumatomyia,Thaumatomyia trifasciata (Zett),2,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,4.vi.2010,Sweep
Chloropidae,Thaumatomyia,Thaumatomyia trifasciata (Zett),1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,8.vi.2010,Sweep
Chloropidae,Tricimba,Tricimba brunnicolis,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Tricimba,Tricimba cincta,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,8-13.vii.2010,PanTrap
Chloropidae,Tricimba,Tricimba melamonolica,2,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Tricimba,Tricimba melamonolica,1,Churchill,MB,SA,E,58.73351,-93.79792,Mesic,1,8.vi.2010,Sweep
Chloropidae,Conioscinella ,Conioscinella sp. A,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-4.vii.2010,PanTrap
Drosophilidae,Drosophila,Drosophila melanogaster,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,13.vi.2010,Sweep
Chloropidae,Oscinella,Oscinella sp. B,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,8-13.vii.2010,PanTrap
Piophilidae,Parapiophila,Parapiophila kugluktuk,3,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-5.vii.2010,MalaiseTrap
Piophilidae,Parapiophila,Parapiophila kugluktuk,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,4-8.vii.2010,PanTrap
Ephydridae,Philygria,Philygria nigrescens,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-5.vii.2010,MalaiseTrap
Sphaeroceridae,Pseudocollinella,Pseudocollinella sp. C,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-5.vii.2010,MalaiseTrap
Chloropidae,Pseudopachyceata,Pseudopachyceata ruficeps,3,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-5.vii.2010,MalaiseTrap
Sciomyzidae,Pteromicra,Pteromicra ?glabricula,2,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-5.vii.2010,MalaiseTrap
Sciomyzidae,Pteromicra,Pteromicra leucothrix,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,4-8.vii.2010,PanTrap
Ephydridae,Scatophila,Scatophila sp. A,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,4.vi.2010,Sweep
Ephydridae,Scatophila,Scatophila tuberculosa,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,1-5.vii.2010,MalaiseTrap
Sphaeroceridae,Spelobia,Spelobia sp. E,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,8-13.vii.2010,PanTrap
Chloropidae,Tricimba,Tricimba brunnicolis,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,4-8.vii.2010,PanTrap
Chloropidae,Tricimba,Tricimba cincta,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,8-13.vii.2010,PanTrap
Chloropidae,Tricimba,Tricimba melamonolica,1,Churchill,MB,SA,E,58.73235,-93.79028,Mesic,2,8-13.vii.2010,PanTrap
Chloropidae,Chlorops,Chlorops sp. A,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,1-5.vii.2010,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,5-9.vii.2010,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. C,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,PanTrap
Sciomyzidae,Dictya,Dictya umbroides Curran,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Drosophilidae,Drosophila,Drosophila melanogaster,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9.vi.2010,Sweep
Chloropidae,Epichlorops,Epichloropos scaber,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Fiebrigella,Fiebrigella magnipalplis,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,PanTrap
Piophilidae,Neopiophila,Neopiophila setaluna,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,PanTrap
Chloropidae,Oscinella,Oscinella sp. D,2,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,1-5.vii.2010,PanTrap
Chloropidae,Oscinella,Oscinella sp. D,2,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,5-9.vii.2010,PanTrap
Chloropidae,Oscinella,Oscinella sp. D,2,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,PanTrap
Chloropidae,Oscinella,Oscinella sp. D,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9.vi.2010,Sweep
Sciomyzidae,Pherbellia,Pherbellia sp. J,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Rhopalopterum,Rhopalopterum sp. A,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Drosophilidae,Scaptomyza,Scaptomyza (Parascaptomyza) ?adusta,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Siphonella,Siphonella oscinina (Fallén),1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?montana Day,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera fuscinervis Zetterstedt,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera spririfera,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Thaumatomyia,Thaumatomyia trifasciata (Zett),1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Sepsidae,Themira,Themira putris,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Tricimba,Tricimba cincta,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Chloropidae,Tricimba,Tricimba melamonolica,1,Churchill,MB,SA,E,58.72235,-93.83991,Mesic,3,9-13.vii.2010,MalaiseTrap
Sciomyzidae,Antichaeta,Antichaeta sp. A,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,3,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Sciomyzidae,Dictya,Dictya umbroides Curran,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Chloropidae,Elachiptera,Elachipter sp. B,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Ephydridae,0,Ephydridae sp. B,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Eribolus,Eribolus nanus,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Ulidiidae,Haigia,Haigia ?nevadana ,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Ephydridae,Lamproscatella,Lamproscatella quadrisetosa,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sphaeroceridae,Norrbomia,Norrbomia fumipennis,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Ephydridae,Parydra,Parydra sp. B,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Pherbellia,Pherbellia schoenherri maculata (Cresson),1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Sciomyzidae,Pherbellia,Pherbellia sp. G,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Pherbellia,Pherbellia sp. I,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Pseudopachyceata,Pseudopachyceata ruficeps,4,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Pseudopachyceata,Pseudopachyceata ruficeps,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9.vi.2010,Sweep
Sciomyzidae,Pteromicra,Pteromicra ?glabricula,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Pteromicra,Pteromicra ?glabricula,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9.vi.2010,Sweep
Sciomyzidae,Pteromicra,Pteromicra leucothrix,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Pteromicra,Pteromicra steyskali Foote,3,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,1-5.vii.2010,PanTrap
Sciomyzidae,Pteromicra,Pteromicra steyskali Foote,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,PanTrap
Sciomyzidae,Pteromicra,Pteromicra steyskali Foote,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Sphaeroceridae,Rachispoda,Rachispoda vespertina,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Rhopalopterum,Rhopalopterum sp. B,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Rhopalopterum,Rhopalopterum sp. B,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Chloropidae,Rhopalopterum,Rhopalopterum sp. E,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9.vi.2010,Sweep
Drosophilidae,Drosophila,Scaptomyza sp. F,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Ephydridae,Scatella,Scatella stagnalis (Fallén),1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Sciomyza,Sciomyza sp. A,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Sciomyza,Sciomyza sp. A,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5.vi.2010,Sweep
Sphaeroceridae,Spelobia,Spelobia bispina,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?montana Day,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?montana Day,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,PanTrap
Sciomyzidae,Tetanocera,Tetanocera ?silvatica ,5,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera ?silvatica ,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Sciomyzidae,Tetanocera,Tetanocera fuscinervis Zetterstedt,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,PanTrap
Sciomyzidae,Tetanocera,Tetanocera fuscinervis Zetterstedt,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5.vi.2010,Sweep
Sciomyzidae,Tetanocera,Tetanocera fuscinervis Zetterstedt,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9.vi.2010,Sweep
Sciomyzidae,Tetanocera,Tetanocera phyllophora Melander,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera phyllophora Melander,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Sciomyzidae,Tetanocera,Tetanocera robusta Loew,9,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sciomyzidae,Tetanocera,Tetanocera spririfera,2,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Chloropidae,Thaumatomyia,Thaumatomyia trifasciata (Zett),4,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Sepsidae,Themira,Themira maculatarsis Curran,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Tricimba,Tricimba brunnicolis,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5-9.vii.2010,MalaiseTrap
Chloropidae,Tricimba,Tricimba brunnicolis,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,5.vi.2010,Sweep
Chloropidae,Tricimba,Tricimba melamonolica,1,Churchill,MB,SA,E,58.73573,-93.79789,Wet,1,9-13.vii.2010,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,1,Churchill,MB,SA,E,58.73034,-93.79509,Wet,2,1-4.vii.2010,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,5,Churchill,MB,SA,E,58.73034,-93.79509,Wet,2,4-8.vii.2010,PanTrap
Chloropidae,Conioscinella ,Conioscinella sp. A,5,Churchill,MB,SA,E,58.73034,-93.79509,Wet,2,8-13.vii.2010,PanTrap
Ephydridae,Hydrellia,Hydrellia sp. C,1,Churchill,MB,SA,E,58.73034,-93.79509,Wet,2,1-4.vii.2010,PanTrap
Chloropidae,Malloewia ,Malloewia sp. B,2,Churchill,MB,SA,E,58.73034,-93.79509,Wet,2,8-13.vii.2010,PanTrap
Sciomyzidae,Pherbellia,Pherbellia sp. D,1,Churchill,MB,SA,E,58.73034,-93.79509,Wet,2,1-5.vii.2010,MalaiseTrap
